symbol,conid,conidex,exchange
SLHG,493760372,493760372,NASDAQ.SCM
NGM,359808548,359808548,NASDAQ.NMS
IS,499478695,499478695,NYSE
KRON,449354980,449354980,NASDAQ.NMS
CRXT,513582356,513582356,NASDAQ.NMS
TMC,512772887,512772887,NASDAQ.NMS
RDW,512000171,512000171,NYSE
MOXC,508656697,508656697,NASDAQ.SCM
PMCB,501785841,501785841,NASDAQ.SCM
FGFPP,460646621,460646621,NASDAQ.NMS
ARRWU,474517707,474517707,NASDAQ.SCM
ATO,4644,4644,NYSE
ALE,30839976,30839976,NYSE
IFFT,333484969,333484969,NYSE
BKT,5032,5032,NYSE
PUI,320226794,320226794,NASDAQ.NMS
CLIM,476070923,476070923,NYSE
ARCM,292590988,292590988,BATS
MH PRC,213869595,213869595,NYSE
OCDX,468091273,468091273,NASDAQ.NMS
SMHB,341215376,341215376,ARCA
WTM,6607447,6607447,NYSE
SEDG,188625650,188625650,NASDAQ.NMS
TNXP,389988360,389988360,NASDAQ.NMS
HEPA,375675757,375675757,NASDAQ.SCM
DSS,419847860,419847860,AMEX
SONN,415142247,415142247,NASDAQ.SCM
PSFE,479429948,479429948,NYSE
SOXS,436977827,436977827,ARCA
USWS,341365216,341365216,NASDAQ.SCM
CXDC,57697895,57697895,NASDAQ.NMS
CHCT,195016532,195016532,NYSE
RMAX,135666376,135666376,NYSE
EVG,34726095,34726095,NYSE
FLS,6477749,6477749,NYSE
MLVF,115440594,115440594,NASDAQ.NMS
BOH,5147,5147,NYSE
ZBH,12851783,12851783,NYSE
MTA,395717235,395717235,AMEX
IAG,16671499,16671499,NYSE
PCB,373639037,373639037,NASDAQ.NMS
URE,74262459,74262459,ARCA
REPH,145915310,145915310,NASDAQ.SCM
THG,37075152,37075152,NYSE
FITB,269318,269318,NASDAQ.NMS
VRSN,4173050,4173050,NASDAQ.NMS
FIX,6607708,6607708,NYSE
GRFS,110753297,110753297,NASDAQ.NMS
SSTK,115181214,115181214,NYSE
Z,201942684,201942684,NASDAQ.NMS
ZG,184072087,184072087,NASDAQ.NMS
AHPI,257940916,257940916,NASDAQ.SCM
FAX,754642,754642,AMEX
QYLD,346727816,346727816,NASDAQ.NMS
EVRG,320106069,320106069,NYSE
EMIF,60910576,60910576,NASDAQ.NMS
NOM,755836,755836,NYSE
APAM,123706127,123706127,NYSE
ASPU,261911411,261911411,NASDAQ.NMS
RUTH,35449496,35449496,NASDAQ.NMS
AOD,314840629,314840629,NYSE
CMS,5840,5840,NYSE
POST,100547520,100547520,NYSE
CYRX,195005058,195005058,NASDAQ.SCM
FFIV,6248713,6248713,NASDAQ.NMS
AGD,314840622,314840622,NYSE
HCAT,375789579,375789579,NASDAQ.NMS
